Category,ID,Description,BgRatio,pvalue,padjust,qvalue,geneID,gene_name,rankScore,Gene Count
BP,GO:0009165,nucleotide biosynthetic process,344/18493,0.002984744,0.014432185,0.005178214,4846/4843/5743,"NOS3,NOS2,PTGS2",0.04947951,3
BP,GO:0043473,pigmentation,95/18493,0.002990001,0.014432185,0.005178214,596/581,"BCL2,BAX",0.017571634,2
BP,GO:0010631,epithelial cell migration,346/18493,0.003034051,0.014604013,0.005239866,4846/5743/5468,"NOS3,PTGS2,PPARG",0.051638188,3
BP,GO:2001243,negative regulation of intrinsic apoptotic signaling pathway,96/18493,0.00305208,0.014642016,0.005253501,596/5743,"BCL2,PTGS2",0.028566835,2
BP,GO:1901293,nucleoside phosphate biosynthetic process,347/18493,0.003058893,0.014642016,0.005253501,4846/4843/5743,"NOS3,NOS2,PTGS2",0.049310996,3
BP,GO:0090132,epithelium migration,349/18493,0.003108956,0.014827312,0.005319985,4846/5743/5468,"NOS3,PTGS2,PPARG",0.051452788,3
BP,GO:0021782,glial cell development,97/18493,0.003114765,0.014827312,0.005319985,351/4137,"APP,MAPT",0.036220801,2
BP,GO:0001654,eye development,351/18493,0.003159526,0.014996406,0.005380655,596/43/581,"BCL2,ACHE,BAX",0.030533593,3
BP,GO:0006140,regulation of nucleotide metabolic process,98/18493,0.003178055,0.014996406,0.005380655,4846/4843,"NOS3,NOS2",0.028388233,2
BP,GO:2000379,positive regulation of reactive oxygen species metabolic process,98/18493,0.003178055,0.014996406,0.005380655,4137/5743,"MAPT,PTGS2",0.035314698,2
BP,GO:0150063,visual system development,352/18493,0.003185001,0.014996406,0.005380655,596/43/581,"BCL2,ACHE,BAX",0.030533593,3
BP,GO:0090130,tissue migration,355/18493,0.00326219,0.015318108,0.00549608,4846/5743/5468,"NOS3,PTGS2,PPARG",0.051054917,3
BP,GO:0010522,regulation of calcium ion transport into cytosol,100/18493,0.003306444,0.015395402,0.005523813,596/581,"BCL2,BAX",0.017303774,2
BP,GO:0050848,regulation of calcium-mediated signaling,100/18493,0.003306444,0.015395402,0.005523813,4137/2932,"MAPT,GSK3B",0.0293677,2
BP,GO:1901606,alpha-amino acid catabolic process,100/18493,0.003306444,0.015395402,0.005523813,4846/4843,"NOS3,NOS2",0.028210748,2
BP,GO:0048880,sensory system development,357/18493,0.003314288,0.015395402,0.005523813,596/43/581,"BCL2,ACHE,BAX",0.030342695,3
BP,GO:0006869,lipid transport,359/18493,0.003366899,0.015597861,0.005596455,1636/4843/5468,"ACE,NOS2,PPARG",0.040537964,3
BP,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,102/18493,0.003437241,0.015838808,0.005682906,596/581,"BCL2,BAX",0.017186054,2
BP,GO:0019233,sensory perception of pain,102/18493,0.003437241,0.015838808,0.005682906,23621/5743,"BACE1,PTGS2",0.035331863,2
BP,GO:0060079,excitatory postsynaptic potential,103/18493,0.00350354,0.016101377,0.005777114,351/2932,"APP,GSK3B",0.035718439,2
BP,GO:0017158,regulation of calcium ion-dependent exocytosis,104/18493,0.003570438,0.016322004,0.005856275,2932/23621,"GSK3B,BACE1",0.029429705,2
BP,GO:2001237,negative regulation of extrinsic apoptotic signaling pathway,104/18493,0.003570438,0.016322004,0.005856275,4846/596,"NOS3,BCL2",0.023500704,2
BP,GO:0043467,regulation of generation of precursor metabolites and energy,105/18493,0.003637935,0.016456416,0.005904501,2932/4843,"GSK3B,NOS2",0.026448388,2
BP,GO:0050905,neuromuscular process,105/18493,0.003637935,0.016456416,0.005904501,351/23621,"APP,BACE1",0.03579651,2
BP,GO:0061387,regulation of extent of cell growth,105/18493,0.003637935,0.016456416,0.005904501,4137/2932,"MAPT,GSK3B",0.028898749,2
BP,GO:0072676,lymphocyte migration,105/18493,0.003637935,0.016456416,0.005904501,351/102,"APP,ADAM10",0.032694657,2
BP,GO:0043900,regulation of multi-organism process,371/18493,0.00369344,0.016633808,0.005968149,596/4353/4843,"BCL2,MPO,NOS2",0.032357416,3
BP,GO:0043279,response to alkaloid,106/18493,0.003706028,0.016633808,0.005968149,836/5468,"CASP3,PPARG",0.040465658,2
BP,GO:0046928,regulation of neurotransmitter secretion,106/18493,0.003706028,0.016633808,0.005968149,2932/23621,"GSK3B,BACE1",0.029294379,2
BP,GO:0071887,leukocyte apoptotic process,107/18493,0.003774717,0.016898216,0.006063017,836/581,"CASP3,BAX",0.035649558,2
BP,GO:1901990,regulation of mitotic cell cycle phase transition,375/18493,0.003806468,0.016996324,0.006098218,351/596/581,"APP,BCL2,BAX",0.037706346,3
BP,GO:0001503,ossification,380/18493,0.003950727,0.017594989,0.006313017,596/43/5743,"BCL2,ACHE,PTGS2",0.039946022,3
BP,GO:0045765,regulation of angiogenesis,381/18493,0.003979977,0.01767969,0.006343407,4846/5743/5468,"NOS3,PTGS2,PPARG",0.049303112,3
BP,GO:0002244,hematopoietic progenitor cell differentiation,111/18493,0.004055417,0.017831453,0.006397859,1636/596,"ACE,BCL2",0.02115963,2
BP,GO:0021987,cerebral cortex development,111/18493,0.004055417,0.017831453,0.006397859,2932/581,"GSK3B,BAX",0.023521035,2
BP,GO:0099565,"chemical synaptic transmission, postsynaptic",111/18493,0.004055417,0.017831453,0.006397859,351/2932,"APP,GSK3B",0.034835531,2
BP,GO:1903828,negative regulation of cellular protein localization,111/18493,0.004055417,0.017831453,0.006397859,4137/2932,"MAPT,GSK3B",0.028334089,2
BP,GO:0007613,memory,112/18493,0.004127073,0.017963685,0.006445303,4137/5743,"MAPT,PTGS2",0.033796636,2
BP,GO:0014013,regulation of gliogenesis,112/18493,0.004127073,0.017963685,0.006445303,351/5468,"APP,PPARG",0.034356703,2
BP,GO:0046717,acid secretion,112/18493,0.004127073,0.017963685,0.006445303,1636/4843,"ACE,NOS2",0.025335317,2
BP,GO:0046822,regulation of nucleocytoplasmic transport,112/18493,0.004127073,0.017963685,0.006445303,2932/5743,"GSK3B,PTGS2",0.033997802,2
BP,GO:0042303,molting cycle,113/18493,0.00419932,0.018186528,0.006525259,596/5743,"BCL2,PTGS2",0.027100668,2
BP,GO:0042633,hair cycle,113/18493,0.00419932,0.018186528,0.006525259,596/5743,"BCL2,PTGS2",0.027100668,2
BP,GO:0098693,regulation of synaptic vesicle cycle,114/18493,0.004272156,0.018409689,0.006605328,2932/23621,"GSK3B,BACE1",0.028568942,2
BP,GO:2000134,negative regulation of G1/S transition of mitotic cell cycle,114/18493,0.004272156,0.018409689,0.006605328,596/581,"BCL2,BAX",0.01656245,2
BP,GO:0010876,lipid localization,393/18493,0.004341426,0.018661652,0.006695732,1636/4843/5468,"ACE,NOS2,PPARG",0.03879064,3
BP,GO:0048675,axon extension,116/18493,0.004419593,0.018950511,0.006799373,4137/2932,"MAPT,GSK3B",0.027905805,2
BP,GO:0009063,cellular amino acid catabolic process,118/18493,0.004569376,0.019544263,0.007012409,4846/4843,"NOS3,NOS2",0.026597918,2
BP,GO:0043062,extracellular structure organization,402/18493,0.004625307,0.019686035,0.007063277,351/102/4353,"APP,ADAM10,MPO",0.043658909,3
BP,GO:0051222,positive regulation of protein transport,402/18493,0.004625307,0.019686035,0.007063277,2932/43/5743,"GSK3B,ACHE,PTGS2",0.045494267,3
BP,GO:0022612,gland morphogenesis,120/18493,0.004721499,0.020000745,0.007176193,596/581,"BCL2,BAX",0.016218784,2
BP,GO:0030099,myeloid cell differentiation,405/18493,0.004722398,0.020000745,0.007176193,351/836/5468,"APP,CASP3,PPARG",0.058626048,3
BP,GO:0002687,positive regulation of leukocyte migration,121/18493,0.004798436,0.020174445,0.007238516,351/102,"APP,ADAM10",0.031073065,2
BP,GO:1900180,regulation of protein localization to nucleus,121/18493,0.004798436,0.020174445,0.007238516,2932/5743,"GSK3B,PTGS2",0.033016079,2
BP,GO:1902807,negative regulation of cell cycle G1/S phase transition,121/18493,0.004798436,0.020174445,0.007238516,596/581,"BCL2,BAX",0.016182933,2
BP,GO:0010595,positive regulation of endothelial cell migration,122/18493,0.004875954,0.020401087,0.007319834,4846/5743,"NOS3,PTGS2",0.034164834,2
BP,GO:0050853,B cell receptor signaling pathway,122/18493,0.004875954,0.020401087,0.007319834,596/581,"BCL2,BAX",0.016136618,2
BP,GO:1901987,regulation of cell cycle phase transition,412/18493,0.004953776,0.020627963,0.007401237,351/596/581,"APP,BCL2,BAX",0.035914374,3
BP,GO:0016079,synaptic vesicle exocytosis,123/18493,0.004954054,0.020627963,0.007401237,2932/23621,"GSK3B,BACE1",0.027755325,2
BP,GO:0010565,regulation of cellular ketone metabolic process,125/18493,0.005111992,0.021132829,0.007582381,5743/5468,"PTGS2,PPARG",0.032225374,2
BP,GO:0030183,B cell differentiation,125/18493,0.005111992,0.021132829,0.007582381,596/581,"BCL2,BAX",0.015990517,2
BP,GO:0071482,cellular response to light stimulus,125/18493,0.005111992,0.021132829,0.007582381,581/5743,"BAX,PTGS2",0.027820459,2
BP,GO:1901342,regulation of vasculature development,421/18493,0.005261285,0.021691518,0.007782836,4846/5743/5468,"NOS3,PTGS2,PPARG",0.046804506,3
BP,GO:0032355,response to estradiol,127/18493,0.005272244,0.021691518,0.007782836,836/5743,"CASP3,PTGS2",0.04349433,2
BP,GO:0032386,regulation of intracellular transport,422/18493,0.005296154,0.021738132,0.007799561,2932/23621/5743,"GSK3B,BACE1,PTGS2",0.046199208,3
BP,GO:0045598,regulation of fat cell differentiation,128/18493,0.005353235,0.021920355,0.007864942,5743/5468,"PTGS2,PPARG",0.031919675,2
BP,GO:0060249,anatomical structure homeostasis,425/18493,0.005401605,0.022066132,0.007917247,4846/596/581,"NOS3,BCL2,BAX",0.030542356,3
BP,GO:0050729,positive regulation of inflammatory response,133/18493,0.005766804,0.023502445,0.00843259,351/5743,"APP,PTGS2",0.037592468,2
BP,GO:0061041,regulation of wound healing,134/18493,0.005851234,0.023790428,0.008535917,5328/4846,"PLAU,NOS3",0.020418167,2
BP,GO:0008584,male gonad development,135/18493,0.005936234,0.02407937,0.008639589,596/581,"BCL2,BAX",0.015449359,2
BP,GO:0046546,development of primary male sexual characteristics,136/18493,0.006021803,0.024312325,0.008723172,596/581,"BCL2,BAX",0.015409443,2
BP,GO:0048813,dendrite morphogenesis,136/18493,0.006021803,0.024312325,0.008723172,2932/102,"GSK3B,ADAM10",0.023772992,2
BP,GO:0046683,response to organophosphorus,137/18493,0.00610794,0.02460261,0.008827326,351/5743,"APP,PTGS2",0.037133939,2
BP,GO:0045834,positive regulation of lipid metabolic process,138/18493,0.006194644,0.024893825,0.008931812,5743/5468,"PTGS2,PPARG",0.03085686,2
BP,GO:0006874,cellular calcium ion homeostasis,448/18493,0.006252664,0.025010656,0.008973731,351/596/581,"APP,BCL2,BAX",0.03413162,3
BP,GO:0042326,negative regulation of phosphorylation,448/18493,0.006252664,0.025010656,0.008973731,4137/836/581,"MAPT,CASP3,BAX",0.045108447,3
BP,GO:0050773,regulation of dendrite development,139/18493,0.006281915,0.025011863,0.008974164,2932/102,"GSK3B,ADAM10",0.023591554,2
BP,GO:0060078,regulation of postsynaptic membrane potential,139/18493,0.006281915,0.025011863,0.008974164,351/2932,"APP,GSK3B",0.031908172,2
BP,GO:0042110,T cell activation,451/18493,0.006369289,0.02518748,0.009037175,836/596/581,"CASP3,BCL2,BAX",0.03896576,3
BP,GO:0043254,regulation of protein complex assembly,451/18493,0.006369289,0.02518748,0.009037175,4137/2932/581,"MAPT,GSK3B,BAX",0.034363399,3
BP,GO:0042737,drug catabolic process,140/18493,0.00636975,0.02518748,0.009037175,4353/43,"MPO,ACHE",0.023114347,2
BP,GO:0023061,signal release,453/18493,0.006447767,0.025248155,0.009058945,2932/23621/4843,"GSK3B,BACE1,NOS2",0.036966395,3
BP,GO:0007612,learning,141/18493,0.006458151,0.025248155,0.009058945,351/5743,"APP,PTGS2",0.03687434,2
BP,GO:0042542,response to hydrogen peroxide,141/18493,0.006458151,0.025248155,0.009058945,836/596,"CASP3,BCL2",0.03048626,2
BP,GO:0051588,regulation of neurotransmitter transport,141/18493,0.006458151,0.025248155,0.009058945,2932/23621,"GSK3B,BACE1",0.026309989,2
BP,GO:0060041,retina development in camera-type eye,141/18493,0.006458151,0.025248155,0.009058945,43/581,"ACHE,BAX",0.019947522,2
BP,GO:0001667,ameboidal-type cell migration,456/18493,0.006566578,0.025614101,0.009190245,4846/5743/5468,"NOS3,PTGS2,PPARG",0.044773636,3
BP,GO:0015711,organic anion transport,460/18493,0.006727042,0.02618092,0.009393617,1636/4843/5468,"ACE,NOS2,PPARG",0.035491964,3
BP,GO:0055074,calcium ion homeostasis,461/18493,0.006767525,0.026279288,0.009428911,351/596/581,"APP,BCL2,BAX",0.033673758,3
BP,GO:0048592,eye morphogenesis,145/18493,0.006817378,0.026413519,0.009477073,596/581,"BCL2,BAX",0.015065777,2
BP,GO:0002262,myeloid cell homeostasis,146/18493,0.006908587,0.02670702,0.00958238,836/581,"CASP3,BAX",0.031650717,2
BP,GO:0006914,autophagy,466/18493,0.006972149,0.026821757,0.009623547,4137/836/596,"MAPT,CASP3,BCL2",0.042625444,3
BP,GO:0061919,process utilizing autophagic mechanism,466/18493,0.006972149,0.026821757,0.009623547,4137/836/596,"MAPT,CASP3,BCL2",0.042625444,3
BP,GO:0035264,multicellular organism growth,147/18493,0.007000355,0.026821757,0.009623547,351/596,"APP,BCL2",0.025169584,2
BP,GO:0043524,negative regulation of neuron apoptotic process,147/18493,0.007000355,0.026821757,0.009623547,596/581,"BCL2,BAX",0.015002189,2
BP,GO:1903305,regulation of regulated secretory pathway,148/18493,0.00709268,0.027115379,0.009728898,2932/23621,"GSK3B,BACE1",0.025799752,2
BP,GO:0001890,placenta development,149/18493,0.007185563,0.027169919,0.009748466,5743/5468,"PTGS2,PPARG",0.030125859,2
BP,GO:0002673,regulation of acute inflammatory response,149/18493,0.007185563,0.027169919,0.009748466,5743/5468,"PTGS2,PPARG",0.030125859,2
BP,GO:0010970,transport along microtubule,149/18493,0.007185563,0.027169919,0.009748466,351/4137,"APP,MAPT",0.031011761,2
BP,GO:0060402,calcium ion transport into cytosol,149/18493,0.007185563,0.027169919,0.009748466,596/581,"BCL2,BAX",0.014948719,2
BP,GO:0099111,microtubule-based transport,149/18493,0.007185563,0.027169919,0.009748466,351/4137,"APP,MAPT",0.031011761,2
BP,GO:0031214,biomineral tissue development,150/18493,0.007279002,0.027463135,0.009853671,4846/5743,"NOS3,PTGS2",0.031555564,2
BP,GO:0022604,regulation of cell morphogenesis,474/18493,0.007307242,0.027509615,0.009870348,4137/2932/102,"MAPT,GSK3B,ADAM10",0.035534472,3
BP,GO:0010975,regulation of neuron projection development,478/18493,0.007478358,0.028092616,0.010079527,4137/2932/102,"MAPT,GSK3B,ADAM10",0.035327081,3
BP,GO:0017156,calcium ion regulated exocytosis,153/18493,0.007562648,0.028347625,0.010171023,2932/23621,"GSK3B,BACE1",0.025481928,2
BP,GO:0048489,synaptic vesicle transport,154/18493,0.007658303,0.028582175,0.010255178,2932/23621,"GSK3B,BACE1",0.025423001,2
BP,GO:0097480,establishment of synaptic vesicle localization,154/18493,0.007658303,0.028582175,0.010255178,2932/23621,"GSK3B,BACE1",0.025423001,2
BP,GO:0072503,cellular divalent inorganic cation homeostasis,483/18493,0.00769562,0.02865955,0.01028294,351/596/581,"APP,BCL2,BAX",0.032871415,3
BP,GO:0071695,anatomical structure maturation,155/18493,0.007754509,0.028816757,0.010339346,351/596,"APP,BCL2",0.024670555,2
BP,GO:0043312,neutrophil degranulation,485/18493,0.007783575,0.028862698,0.010355829,5328/102/4353,"PLAU,ADAM10,MPO",0.026966608,3
BP,GO:2001236,regulation of extrinsic apoptotic signaling pathway,156/18493,0.007851267,0.029051367,0.010423523,4846/596,"NOS3,BCL2",0.020208221,2
BP,GO:0002283,neutrophil activation involved in immune response,488/18493,0.007916636,0.029230657,0.010487852,5328/102/4353,"PLAU,ADAM10,MPO",0.026870248,3
BP,GO:0046661,male sex differentiation,157/18493,0.007948574,0.029286003,0.01050771,596/581,"BCL2,BAX",0.014637778,2
BP,GO:0090316,positive regulation of intracellular protein transport,158/18493,0.00804643,0.029537631,0.010597993,2932/5743,"GSK3B,PTGS2",0.02979132,2
BP,GO:0051656,establishment of organelle localization,491/18493,0.008051056,0.029537631,0.010597993,4137/2932/23621,"MAPT,GSK3B,BACE1",0.037491118,3
BP,GO:0050806,positive regulation of synaptic transmission,159/18493,0.008144834,0.029818377,0.010698723,351/5743,"APP,PTGS2",0.035206809,2
BP,GO:0051051,negative regulation of transport,495/18493,0.0082324,0.029851822,0.010710723,4846/596/5743,"NOS3,BCL2,PTGS2",0.037312773,3
BP,GO:0071456,cellular response to hypoxia,160/18493,0.008243786,0.029851822,0.010710723,596/5743,"BCL2,PTGS2",0.023749061,2
BP,GO:1903034,regulation of response to wounding,160/18493,0.008243786,0.029851822,0.010710723,5328/4846,"PLAU,NOS3",0.019178581,2
BP,GO:0050954,sensory perception of mechanical stimulus,161/18493,0.008343284,0.029851822,0.010710723,836/23621,"CASP3,BACE1",0.035279158,2
BP,GO:0060401,cytosolic calcium ion transport,161/18493,0.008343284,0.029851822,0.010710723,596/581,"BCL2,BAX",0.014558441,2
BP,GO:1990138,neuron projection extension,161/18493,0.008343284,0.029851822,0.010710723,4137/2932,"MAPT,GSK3B",0.024708362,2
BP,GO:0042119,neutrophil activation,498/18493,0.008370002,0.029851822,0.010710723,5328/102/4353,"PLAU,ADAM10,MPO",0.0267103,3
BP,GO:0060627,regulation of vesicle-mediated transport,498/18493,0.008370002,0.029851822,0.010710723,2932/23621/5468,"GSK3B,BACE1,PPARG",0.037191752,3
BP,GO:0001660,fever generation,10/18493,0.008620405,0.029851822,0.010710723,5743,PTGS2,0.017259769,1
BP,GO:0002679,respiratory burst involved in defense response,10/18493,0.008620405,0.029851822,0.010710723,4353,MPO,0.01107738,1
BP,GO:0007220,Notch receptor processing,10/18493,0.008620405,0.029851822,0.010710723,102,ADAM10,0.010018051,1
BP,GO:0014041,regulation of neuron maturation,10/18493,0.008620405,0.029851822,0.010710723,596,BCL2,0.006489292,1
BP,GO:0021548,pons development,10/18493,0.008620405,0.029851822,0.010710723,596,BCL2,0.006489292,1
BP,GO:0032025,response to cobalt ion,10/18493,0.008620405,0.029851822,0.010710723,836,CASP3,0.02260903,1
BP,GO:0043653,mitochondrial fragmentation involved in apoptotic process,10/18493,0.008620405,0.029851822,0.010710723,581,BAX,0.008069149,1
BP,GO:0045713,low-density lipoprotein particle receptor biosynthetic process,10/18493,0.008620405,0.029851822,0.010710723,5468,PPARG,0.01207957,1
BP,GO:0051124,synaptic growth at neuromuscular junction,10/18493,0.008620405,0.029851822,0.010710723,351,APP,0.017935804,1
BP,GO:0060068,vagina development,10/18493,0.008620405,0.029851822,0.010710723,581,BAX,0.008069149,1
BP,GO:0071838,cell proliferation in bone marrow,10/18493,0.008620405,0.029851822,0.010710723,1636,ACE,0.011962679,1
BP,GO:0090336,positive regulation of brown fat cell differentiation,10/18493,0.008620405,0.029851822,0.010710723,5743,PTGS2,0.017259769,1
BP,GO:1900272,negative regulation of long-term synaptic potentiation,10/18493,0.008620405,0.029851822,0.010710723,351,APP,0.017935804,1
BP,GO:1902004,positive regulation of amyloid-beta formation,10/18493,0.008620405,0.029851822,0.010710723,351,APP,0.017935804,1
BP,GO:1902510,regulation of apoptotic DNA fragmentation,10/18493,0.008620405,0.029851822,0.010710723,581,BAX,0.008069149,1
BP,GO:1904338,regulation of dopaminergic neuron differentiation,10/18493,0.008620405,0.029851822,0.010710723,2932,GSK3B,0.012442054,1
BP,GO:1904779,regulation of protein localization to centrosome,10/18493,0.008620405,0.029851822,0.010710723,2932,GSK3B,0.012442054,1
BP,GO:1990535,neuron projection maintenance,10/18493,0.008620405,0.029851822,0.010710723,351,APP,0.017935804,1
BP,GO:2001269,positive regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway,10/18493,0.008620405,0.029851822,0.010710723,581,BAX,0.008069149,1
BP,GO:0007416,synapse assembly,165/18493,0.00874672,0.030108233,0.010802722,351/43,"APP,ACHE",0.028835628,2
BP,GO:0010634,positive regulation of epithelial cell migration,165/18493,0.00874672,0.030108233,0.010802722,4846/5743,"NOS3,PTGS2",0.030748406,2
BP,GO:0097479,synaptic vesicle localization,165/18493,0.00874672,0.030108233,0.010802722,2932/23621,"GSK3B,BACE1",0.025051018,2
BP,GO:2000045,regulation of G1/S transition of mitotic cell cycle,166/18493,0.008848936,0.030399527,0.010907238,596/581,"BCL2,BAX",0.014483063,2
BP,GO:0007269,neurotransmitter secretion,167/18493,0.008951693,0.030630744,0.010990198,2932/23621,"GSK3B,BACE1",0.024927974,2
BP,GO:0099643,signal release from synapse,167/18493,0.008951693,0.030630744,0.010990198,2932/23621,"GSK3B,BACE1",0.024927974,2
BP,GO:0030705,cytoskeleton-dependent intracellular transport,168/18493,0.00905499,0.030861978,0.011073163,351/4137,"APP,MAPT",0.029915882,2
BP,GO:0048660,regulation of smooth muscle cell proliferation,168/18493,0.00905499,0.030861978,0.011073163,5743/5468,"PTGS2,PPARG",0.029061286,2
BP,GO:0036294,cellular response to decreased oxygen levels,170/18493,0.0092632,0.031257682,0.01121514,596/5743,"BCL2,PTGS2",0.023437823,2
BP,GO:0048659,smooth muscle cell proliferation,170/18493,0.0092632,0.031257682,0.01121514,5743/5468,"PTGS2,PPARG",0.028954839,2
BP,GO:0001659,temperature homeostasis,171/18493,0.009368112,0.031257682,0.01121514,43/5743,"ACHE,PTGS2",0.027860036,2
BP,GO:0002003,angiotensin maturation,11/18493,0.009478603,0.031257682,0.01121514,1636,ACE,0.011805905,1
BP,GO:0016264,gap junction assembly,11/18493,0.009478603,0.031257682,0.01121514,1636,ACE,0.011805905,1
BP,GO:0016322,neuron remodeling,11/18493,0.009478603,0.031257682,0.01121514,351,APP,0.01770075,1
BP,GO:0019371,cyclooxygenase pathway,11/18493,0.009478603,0.031257682,0.01121514,5743,PTGS2,0.017033575,1
BP,GO:0019896,axonal transport of mitochondrion,11/18493,0.009478603,0.031257682,0.01121514,4137,MAPT,0.012105555,1
BP,GO:0031652,positive regulation of heat generation,11/18493,0.009478603,0.031257682,0.01121514,5743,PTGS2,0.017033575,1
BP,GO:0033197,response to vitamin E,11/18493,0.009478603,0.031257682,0.01121514,5468,PPARG,0.011921264,1
BP,GO:0046007,negative regulation of activated T cell proliferation,11/18493,0.009478603,0.031257682,0.01121514,836,CASP3,0.022312733,1
BP,GO:0048742,regulation of skeletal muscle fiber development,11/18493,0.009478603,0.031257682,0.01121514,596,BCL2,0.006404248,1
BP,GO:0051974,negative regulation of telomerase activity,11/18493,0.009478603,0.031257682,0.01121514,5468,PPARG,0.011921264,1
BP,GO:0060100,"positive regulation of phagocytosis, engulfment",11/18493,0.009478603,0.031257682,0.01121514,5468,PPARG,0.011921264,1
BP,GO:0090042,tubulin deacetylation,11/18493,0.009478603,0.031257682,0.01121514,4137,MAPT,0.012105555,1
BP,GO:1902337,regulation of apoptotic process involved in morphogenesis,11/18493,0.009478603,0.031257682,0.01121514,581,BAX,0.0079634,1
BP,GO:1905155,positive regulation of membrane invagination,11/18493,0.009478603,0.031257682,0.01121514,5468,PPARG,0.011921264,1
BP,GO:0008361,regulation of cell size,175/18493,0.009793115,0.032172058,0.011543215,4137/2932,"MAPT,GSK3B",0.024181671,2
BP,GO:0070507,regulation of microtubule cytoskeleton organization,175/18493,0.009793115,0.032172058,0.011543215,4137/2932,"MAPT,GSK3B",0.024181671,2
BP,GO:1905475,regulation of protein localization to membrane,177/18493,0.010008818,0.032818286,0.01177508,596/102,"BCL2,ADAM10",0.016061977,2
BP,GO:0042098,T cell proliferation,178/18493,0.010117466,0.032954278,0.011823873,836/581,"CASP3,BAX",0.029814359,2
BP,GO:0071346,cellular response to interferon-gamma,178/18493,0.010117466,0.032954278,0.011823873,4843/5468,"NOS2,PPARG",0.021624298,2
BP,GO:0002002,regulation of angiotensin levels in blood,12/18493,0.010336104,0.032954278,0.011823873,1636,ACE,0.011625841,1
BP,GO:0002674,negative regulation of acute inflammatory response,12/18493,0.010336104,0.032954278,0.011823873,5468,PPARG,0.01173944,1
BP,GO:0006983,ER overload response,12/18493,0.010336104,0.032954278,0.011823873,2932,GSK3B,0.012091717,1
BP,GO:0009886,post-embryonic animal morphogenesis,12/18493,0.010336104,0.032954278,0.011823873,581,BAX,0.007841942,1
BP,GO:0010889,regulation of sequestering of triglyceride,12/18493,0.010336104,0.032954278,0.011823873,5468,PPARG,0.01173944,1
BP,GO:0050966,detection of mechanical stimulus involved in sensory perception of pain,12/18493,0.010336104,0.032954278,0.011823873,23621,BACE1,0.01231337,1
BP,GO:0051712,positive regulation of killing of cells of other organism,12/18493,0.010336104,0.032954278,0.011823873,4843,NOS2,0.009884858,1
BP,GO:1903624,regulation of DNA catabolic process,12/18493,0.010336104,0.032954278,0.011823873,581,BAX,0.007841942,1
BP,GO:1903894,regulation of IRE1-mediated unfolded protein response,12/18493,0.010336104,0.032954278,0.011823873,581,BAX,0.007841942,1
BP,GO:1905461,positive regulation of vascular associated smooth muscle cell apoptotic process,12/18493,0.010336104,0.032954278,0.011823873,5468,PPARG,0.01173944,1
BP,GO:0002685,regulation of leukocyte migration,180/18493,0.010336353,0.032954278,0.011823873,351/102,"APP,ADAM10",0.027166745,2
BP,GO:0048639,positive regulation of developmental growth,180/18493,0.010336353,0.032954278,0.011823873,4137/596,"MAPT,BCL2",0.01822749,2
BP,GO:0050770,regulation of axonogenesis,180/18493,0.010336353,0.032954278,0.011823873,4137/2932,"MAPT,GSK3B",0.024012637,2
BP,GO:0042594,response to starvation,183/18493,0.010668646,0.033888641,0.012159119,596/5468,"BCL2,PPARG",0.017898164,2
BP,GO:0050864,regulation of B cell activation,183/18493,0.010668646,0.033888641,0.012159119,836/596,"CASP3,BCL2",0.028047305,2
BP,GO:0030308,negative regulation of cell growth,184/18493,0.010780464,0.034056016,0.012219173,596/5468,"BCL2,PPARG",0.01787211,2
BP,GO:0043112,receptor metabolic process,184/18493,0.010780464,0.034056016,0.012219173,43/5468,"ACHE,PPARG",0.022184911,2
BP,GO:0050866,negative regulation of cell activation,184/18493,0.010780464,0.034056016,0.012219173,836/4846,"CASP3,NOS3",0.034815447,2
BP,GO:1902806,regulation of cell cycle G1/S phase transition,185/18493,0.010892806,0.034171992,0.012260784,596/581,"BCL2,BAX",0.013998076,2
BP,GO:0006367,transcription initiation from RNA polymerase II promoter,186/18493,0.011005672,0.034171992,0.012260784,581/5468,"BAX,PPARG",0.01937318,2
BP,GO:0071478,cellular response to radiation,186/18493,0.011005672,0.034171992,0.012260784,581/5743,"BAX,PTGS2",0.02435399,2
BP,GO:0001967,suckling behavior,13/18493,0.01119291,0.034171992,0.012260784,351,APP,0.017245442,1
BP,GO:0003084,positive regulation of systemic arterial blood pressure,13/18493,0.01119291,0.034171992,0.012260784,1636,ACE,0.011502227,1
BP,GO:0010745,negative regulation of macrophage derived foam cell differentiation,13/18493,0.01119291,0.034171992,0.012260784,5468,PPARG,0.011614619,1
BP,GO:0014745,negative regulation of muscle adaptation,13/18493,0.01119291,0.034171992,0.012260784,4846,NOS3,0.013041635,1
BP,GO:0030011,maintenance of cell polarity,13/18493,0.01119291,0.034171992,0.012260784,2932,GSK3B,0.011963151,1
BP,GO:0031650,regulation of heat generation,13/18493,0.01119291,0.034171992,0.012260784,5743,PTGS2,0.016595428,1
BP,GO:0032310,prostaglandin secretion,13/18493,0.01119291,0.034171992,0.012260784,4843,NOS2,0.009779756,1
BP,GO:0044130,negative regulation of growth of symbiont in host,13/18493,0.01119291,0.034171992,0.012260784,4353,MPO,0.010651004,1
BP,GO:0050872,white fat cell differentiation,13/18493,0.01119291,0.034171992,0.012260784,5468,PPARG,0.011614619,1
